# wave        flux         error        rest-wave
# Combined Miri LRS and Nirspec Spectrum of WISEAJ215949.54-480855.2
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 2.4466e+00   5.2826e-06   1.8169e-06   7.6960e+01
 2.4624e+00   4.9308e-06   1.7969e-06   7.7874e+01
 2.4782e+00   6.1348e-06   1.8402e-06   7.8790e+01
 2.4939e+00   5.9071e-06   1.8337e-06   7.9710e+01
 2.5095e+00   4.0522e-06   1.8441e-06   8.0633e+01
 2.5250e+00   3.8365e-06   1.8244e-06   8.1557e+01
 2.5404e+00   2.6041e-06   1.8907e-06   8.2483e+01
 2.5558e+00   2.5198e-06   1.8643e-06   8.3412e+01
 2.5711e+00   1.9821e-06   1.8672e-06   8.4344e+01
 2.5863e+00   1.2075e-06   1.8568e-06   8.5277e+01
 2.6014e+00   1.3886e-06   1.8672e-06   8.6212e+01
 2.6164e+00   7.8452e-07   1.9396e-06   8.7149e+01
 2.6314e+00   3.5459e-06   2.0060e-06   8.8087e+01
 2.6463e+00   3.1034e-06   2.0033e-06   8.9028e+01
 2.6611e+00   4.9718e-06   2.0406e-06   8.9970e+01
 2.6759e+00   1.8278e-06   2.0297e-06   9.0915e+01
 2.6906e+00   7.2129e-07   1.9978e-06   9.1861e+01
 2.7052e+00   2.1978e-06   2.0783e-06   9.2809e+01
 2.7197e+00   3.1239e-07   2.1669e-06   9.3757e+01
 2.7342e+00   2.1541e-06   2.2634e-06   9.4708e+01
 2.7486e+00   3.7589e-06   2.3187e-06   9.5661e+01
 2.7629e+00   3.3569e-06   2.2914e-06   9.6615e+01
 2.7772e+00   2.6511e-06   2.1835e-06   9.7569e+01
 2.7914e+00   1.8097e-07   2.2785e-06   9.8525e+01
 2.8055e+00   5.1523e-06   2.3415e-06   9.9483e+01
 2.8196e+00   3.7181e-06   2.3147e-06   1.0044e+02
 2.8336e+00   6.3219e-06   2.3275e-06   1.0140e+02
 2.8475e+00   3.3991e-06   2.3266e-06   1.0237e+02
 2.8614e+00   3.5435e-06   2.4130e-06   1.0333e+02
 2.8752e+00   6.6074e-06   2.4461e-06   1.0429e+02
 2.8890e+00   1.2717e-05   2.4779e-06   1.0526e+02
 2.9027e+00   1.2437e-05   2.5271e-06   1.0623e+02
 2.9163e+00   1.1753e-05   2.5811e-06   1.0719e+02
 2.9299e+00   1.1218e-05   2.5606e-06   1.0816e+02
 2.9434e+00   1.5375e-05   2.6285e-06   1.0913e+02
 2.9568e+00   1.9112e-05   2.6787e-06   1.1010e+02
 2.9702e+00   1.6686e-05   2.6275e-06   1.1107e+02
 2.9836e+00   2.2912e-05   2.6823e-06   1.1205e+02
 2.9969e+00   2.3151e-05   2.7840e-06   1.1302e+02
 3.0101e+00   1.9499e-05   2.7401e-06   1.1400e+02
 3.0233e+00   2.9566e-05   2.7795e-06   1.1497e+02
 3.0364e+00   2.9947e-05   2.7367e-06   1.1595e+02
 3.0495e+00   2.9287e-05   2.7944e-06   1.1693e+02
 3.0625e+00   3.5062e-05   2.8151e-06   1.1790e+02
 3.0754e+00   3.1473e-05   2.8488e-06   1.1888e+02
 3.0883e+00   2.1227e-05   2.9167e-06   1.1987e+02
 3.1012e+00   1.6445e-05   2.8567e-06   1.2084e+02
 3.1140e+00   1.7529e-05   2.8577e-06   1.2183e+02
 3.1268e+00   1.6758e-05   2.8541e-06   1.2281e+02
 3.1395e+00   1.0931e-05   2.8927e-06   1.2379e+02
 3.1521e+00   1.0918e-05   2.8932e-06   1.2478e+02
 3.1647e+00   5.1912e-06   2.8267e-06   1.2576e+02
 3.1773e+00   3.8345e-06   2.9638e-06   1.2675e+02
 3.1898e+00   3.8762e-06   2.9263e-06   1.2774e+02
 3.2023e+00   2.1173e-06   2.9156e-06   1.2872e+02
 3.2147e+00  -1.2837e-06   2.8877e-06   1.2971e+02
 3.2270e+00  -1.5116e-06   2.9450e-06   1.3070e+02
 3.2394e+00   1.8834e-06   3.0107e-06   1.3169e+02
 3.2516e+00   1.1244e-06   3.0238e-06   1.3268e+02
 3.2639e+00   3.7342e-06   3.0048e-06   1.3367e+02
