# wave        flux         error        rest-wave
# Combined Miri LRS and Nirspec Spectrum of WISEAJ215949.54-480855.2
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 8.3930e+00   1.0367e-04   9.8352e-07   1.1173e+02
 8.4231e+00   1.1218e-04   1.0555e-06   1.1225e+02
 8.4531e+00   1.1950e-04   9.9692e-07   1.1277e+02
 8.4829e+00   1.1744e-04   1.0006e-06   1.1329e+02
 8.5126e+00   1.2245e-04   1.0125e-06   1.1381e+02
 8.5422e+00   1.3073e-04   1.0350e-06   1.1433e+02
 8.5716e+00   1.3766e-04   1.0802e-06   1.1485e+02
 8.6009e+00   1.3836e-04   1.0778e-06   1.1538e+02
 8.6301e+00   1.3828e-04   1.1090e-06   1.1591e+02
 8.6591e+00   1.5137e-04   1.1337e-06   1.1643e+02
 8.6880e+00   1.6002e-04   1.2048e-06   1.1696e+02
 8.7167e+00   1.6429e-04   1.2122e-06   1.1749e+02
 8.7454e+00   1.5490e-04   1.2117e-06   1.1803e+02
 8.7739e+00   1.4711e-04   1.1527e-06   1.1856e+02
 8.8023e+00   1.5651e-04   1.2326e-06   1.1909e+02
 8.8305e+00   1.6838e-04   1.2373e-06   1.1963e+02
 8.8586e+00   1.6754e-04   1.2756e-06   1.2016e+02
 8.8866e+00   1.6802e-04   1.2526e-06   1.2070e+02
 8.9145e+00   1.5384e-04   1.2658e-06   1.2124e+02
 8.9423e+00   1.4875e-04   1.2585e-06   1.2178e+02
 8.9699e+00   1.4630e-04   1.2840e-06   1.2232e+02
 8.9974e+00   1.6045e-04   1.3080e-06   1.2286e+02
 9.0248e+00   1.5664e-04   1.3127e-06   1.2341e+02
 9.0520e+00   1.6010e-04   1.3232e-06   1.2395e+02
 9.0792e+00   1.5500e-04   1.3470e-06   1.2449e+02
 9.1062e+00   1.4856e-04   1.2690e-06   1.2504e+02
 9.1331e+00   1.5601e-04   1.3541e-06   1.2558e+02
 9.1599e+00   1.4112e-04   1.3512e-06   1.2613e+02
 9.1866e+00   1.5123e-04   1.3784e-06   1.2668e+02
 9.2131e+00   1.6073e-04   1.3906e-06   1.2722e+02
 9.2396e+00   1.7999e-04   1.4353e-06   1.2777e+02
 9.2659e+00   1.7811e-04   1.4334e-06   1.2832e+02
 9.2921e+00   1.5697e-04   1.4294e-06   1.2887e+02
 9.3183e+00   1.4757e-04   1.3634e-06   1.2942e+02
 9.3443e+00   1.5255e-04   1.4473e-06   1.2997e+02
 9.3701e+00   1.5750e-04   1.4512e-06   1.3052e+02
 9.3959e+00   1.7003e-04   1.5224e-06   1.3107e+02
 9.4216e+00   1.7654e-04   1.5087e-06   1.3162e+02
 9.4472e+00   1.7601e-04   1.5253e-06   1.3217e+02
 9.4726e+00   1.6230e-04   1.5132e-06   1.3272e+02
 9.4980e+00   1.6245e-04   1.5217e-06   1.3327e+02
 9.5232e+00   1.5805e-04   1.5280e-06   1.3382e+02
 9.5484e+00   1.7096e-04   1.5647e-06   1.3437e+02
 9.5734e+00   1.8036e-04   1.6017e-06   1.3492e+02
 9.5984e+00   1.8431e-04   1.6266e-06   1.3547e+02
 9.6232e+00   1.9628e-04   1.6240e-06   1.3602e+02
 9.6479e+00   1.7754e-04   1.6255e-06   1.3657e+02
 9.6726e+00   1.5433e-04   1.5865e-06   1.3712e+02
 9.6971e+00   1.5772e-04   1.6167e-06   1.3767e+02
 9.7216e+00   1.6418e-04   1.6375e-06   1.3822e+02
 9.7459e+00   1.8649e-04   1.6975e-06   1.3877e+02
 9.7702e+00   2.0581e-04   1.7072e-06   1.3932e+02
 9.7943e+00   2.1522e-04   1.7984e-06   1.3986e+02
 9.8184e+00   2.2157e-04   1.8074e-06   1.4041e+02
 9.8424e+00   2.0493e-04   1.7826e-06   1.4095e+02
 9.8662e+00   1.8189e-04   1.7239e-06   1.4150e+02
 9.8900e+00   1.7072e-04   1.8329e-06   1.4204e+02
 9.9137e+00   1.8360e-04   1.8014e-06   1.4258e+02
 9.9373e+00   1.9863e-04   1.8493e-06   1.4312e+02
 9.9608e+00   2.2809e-04   1.9188e-06   1.4366e+02
 9.9843e+00   2.4590e-04   1.9558e-06   1.4420e+02
 1.0008e+01   2.4634e-04   1.9692e-06   1.4474e+02
 1.0031e+01   2.2811e-04   1.9716e-06   1.4527e+02
 1.0054e+01   2.0830e-04   2.0107e-06   1.4581e+02
 1.0077e+01   1.9002e-04   1.9312e-06   1.4634e+02
 1.0100e+01   1.9472e-04   1.9850e-06   1.4687e+02
 1.0123e+01   2.2139e-04   2.0704e-06   1.4740e+02
 1.0146e+01   2.4278e-04   2.1362e-06   1.4793e+02
 1.0169e+01   2.5280e-04   2.1930e-06   1.4845e+02
 1.0191e+01   2.5508e-04   2.2175e-06   1.4898e+02
 1.0214e+01   2.5831e-04   2.2517e-06   1.4950e+02
 1.0236e+01   2.4774e-04   2.2574e-06   1.5002e+02
 1.0259e+01   2.2797e-04   2.2105e-06   1.5053e+02
 1.0281e+01   1.9961e-04   2.1494e-06   1.5105e+02
 1.0303e+01   1.6618e-04   2.1262e-06   1.5156e+02
 1.0326e+01   1.2351e-04   2.0366e-06   1.5207e+02
 1.0348e+01   8.3076e-05   2.0115e-06   1.5258e+02
 1.0370e+01   6.0469e-05   1.9753e-06   1.5308e+02
 1.0392e+01   6.5283e-05   2.0691e-06   1.5359e+02
 1.0414e+01   7.5629e-05   2.1167e-06   1.5409e+02
 1.0436e+01   9.1501e-05   2.2174e-06   1.5458e+02
 1.0457e+01   9.8647e-05   2.2535e-06   1.5508e+02
 1.0479e+01   1.0388e-04   2.2654e-06   1.5557e+02
 1.0501e+01   1.1328e-04   2.3051e-06   1.5605e+02
 1.0522e+01   1.2154e-04   2.3797e-06   1.5654e+02
 1.0544e+01   1.2830e-04   2.4331e-06   1.5702e+02
 1.0565e+01   1.3580e-04   2.4948e-06   1.5749e+02
 1.0587e+01   1.4380e-04   2.4984e-06   1.5797e+02
 1.0608e+01   1.4693e-04   2.5312e-06   1.5844e+02
 1.0629e+01   1.5079e-04   2.6076e-06   1.5890e+02
 1.0650e+01   1.4286e-04   2.6843e-06   1.5937e+02
 1.0672e+01   1.1668e-04   2.5180e-06   1.5983e+02
 1.0693e+01   9.2336e-05   2.6837e-06   1.6028e+02
 1.0714e+01   7.0592e-05   2.6924e-06   1.6073e+02
 1.0735e+01   6.6592e-05   2.6632e-06   1.6118e+02
 1.0755e+01   7.0705e-05   2.6847e-06   1.6162e+02
 1.0776e+01   7.2215e-05   2.7910e-06   1.6206e+02
 1.0797e+01   8.1291e-05   2.8478e-06   1.6249e+02
 1.0818e+01   9.6688e-05   2.9675e-06   1.6293e+02
 1.0838e+01   1.0656e-04   2.9399e-06   1.6337e+02
 1.0859e+01   1.2053e-04   3.0910e-06   1.6380e+02
 1.0880e+01   1.3656e-04   3.1570e-06   1.6424e+02
 1.0900e+01   1.5159e-04   3.1991e-06   1.6468e+02
 1.0921e+01   1.4190e-04   3.1759e-06   1.6512e+02
 1.0941e+01   1.5034e-04   3.2338e-06   1.6556e+02
 1.0961e+01   1.5569e-04   3.4717e-06   1.6600e+02
 1.0982e+01   1.5101e-04   3.4899e-06   1.6644e+02
 1.1002e+01   1.4211e-04   3.5767e-06   1.6688e+02
 1.1022e+01   1.4036e-04   3.6598e-06   1.6732e+02
 1.1042e+01   1.7657e-04   3.5199e-06   1.6776e+02
 1.1062e+01   1.8760e-04   3.8396e-06   1.6821e+02
 1.1082e+01   1.9768e-04   3.9103e-06   1.6865e+02
 1.1102e+01   2.0590e-04   4.0106e-06   1.6909e+02
 1.1122e+01   2.0330e-04   4.0355e-06   1.6954e+02
 1.1142e+01   2.1917e-04   4.2134e-06   1.6998e+02
 1.1162e+01   1.9598e-04   4.1340e-06   1.7043e+02
 1.1182e+01   1.7350e-04   4.2592e-06   1.7088e+02
 1.1201e+01   1.7574e-04   4.3143e-06   1.7132e+02
 1.1221e+01   1.4916e-04   4.5225e-06   1.7177e+02
 1.1241e+01   1.5027e-04   4.5075e-06   1.7222e+02
 1.1260e+01   1.5677e-04   4.5171e-06   1.7267e+02
 1.1280e+01   1.7211e-04   4.5502e-06   1.7312e+02
 1.1299e+01   1.8428e-04   4.7118e-06   1.7357e+02
 1.1318e+01   2.0337e-04   4.8121e-06   1.7402e+02
 1.1338e+01   2.3534e-04   4.9060e-06   1.7447e+02
 1.1357e+01   2.0670e-04   4.9187e-06   1.7492e+02
 1.1376e+01   2.1555e-04   5.1108e-06   1.7537e+02
 1.1396e+01   2.3472e-04   5.0611e-06   1.7582e+02
 1.1415e+01   2.2778e-04   5.1951e-06   1.7628e+02
 1.1434e+01   2.1644e-04   4.7572e-06   1.7673e+02
 1.1453e+01   1.8776e-04   5.1362e-06   1.7718e+02
 1.1472e+01   1.7422e-04   4.8856e-06   1.7764e+02
 1.1491e+01   1.6927e-04   5.1249e-06   1.7809e+02
 1.1510e+01   1.5728e-04   5.2464e-06   1.7854e+02
 1.1529e+01   1.4713e-04   5.3807e-06   1.7900e+02
 1.1547e+01   1.6711e-04   5.1737e-06   1.7945e+02
 1.1566e+01   1.6543e-04   5.6167e-06   1.7991e+02
 1.1585e+01   2.1381e-04   5.7472e-06   1.8037e+02
 1.1604e+01   2.1685e-04   5.8627e-06   1.8082e+02
 1.1622e+01   2.1269e-04   5.9722e-06   1.8128e+02
 1.1641e+01   2.0209e-04   6.0366e-06   1.8173e+02
 1.1659e+01   1.9801e-04   6.1203e-06   1.8219e+02
 1.1678e+01   1.8761e-04   6.0287e-06   1.8265e+02
 1.1696e+01   1.5812e-04   6.1299e-06   1.8311e+02
 1.1715e+01   1.6020e-04   6.4029e-06   1.8356e+02
 1.1733e+01   1.4902e-04   6.5816e-06   1.8402e+02
 1.1751e+01   1.3427e-04   6.5114e-06   1.8448e+02
 1.1770e+01   1.4325e-04   6.7993e-06   1.8494e+02
 1.1788e+01   1.5005e-04   6.7212e-06   1.8540e+02
 1.1806e+01   1.6694e-04   7.1032e-06   1.8586e+02
 1.1824e+01   1.6605e-04   7.3254e-06   1.8631e+02
 1.1842e+01   1.7412e-04   7.5109e-06   1.8677e+02
 1.1860e+01   1.7639e-04   7.7334e-06   1.8723e+02
 1.1878e+01   2.0229e-04   7.7201e-06   1.8769e+02
 1.1896e+01   2.1723e-04   7.9688e-06   1.8815e+02
 1.1914e+01   1.9436e-04   8.0266e-06   1.8861e+02
 1.1932e+01   1.7000e-04   8.4865e-06   1.8907e+02
 1.1950e+01   1.3326e-04   8.3714e-06   1.8953e+02
 1.1967e+01   1.4492e-04   8.6278e-06   1.8999e+02
 1.1985e+01   1.6187e-04   8.5516e-06   1.9045e+02
 1.2003e+01   1.5246e-04   8.8799e-06   1.9091e+02
 1.2020e+01   1.3507e-04   8.9685e-06   1.9137e+02
 1.2038e+01   1.5336e-04   9.3054e-06   1.9182e+02
 1.2056e+01   1.6046e-04   9.4067e-06   1.9228e+02
 1.2073e+01   1.4127e-04   9.6147e-06   1.9274e+02
 1.2091e+01   1.5934e-04   9.4871e-06   1.9320e+02
 1.2108e+01   1.0566e-04   1.0159e-05   1.9366e+02
 1.2125e+01   1.2754e-04   1.0562e-05   1.9389e+02
