# wave         flux         error        rest_wave
# Combined Miri LRS and Nirspec Spectrum of WISEJ150115.92-400418.4
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 2.3965e+00   3.6615e-05   2.3353e-06   7.3988e+01
 2.4127e+00   5.1043e-05   2.3508e-06   7.4891e+01
 2.4287e+00   5.1669e-05   2.4088e-06   7.5798e+01
 2.4447e+00   5.5975e-05   2.4763e-06   7.6709e+01
 2.4606e+00   6.3201e-05   2.4902e-06   7.7625e+01
 2.4764e+00   6.7597e-05   2.5196e-06   7.8542e+01
 2.4921e+00   6.9366e-05   2.5574e-06   7.9460e+01
 2.5078e+00   6.0871e-05   2.5252e-06   8.0380e+01
 2.5233e+00   4.6842e-05   2.4954e-06   8.1303e+01
 2.5388e+00   4.1366e-05   2.4197e-06   8.2229e+01
 2.5542e+00   3.4839e-05   2.3731e-06   8.3157e+01
 2.5695e+00   3.1700e-05   2.4056e-06   8.4087e+01
 2.5848e+00   3.2160e-05   2.4233e-06   8.5019e+01
 2.5999e+00   3.8329e-05   2.4838e-06   8.5954e+01
 2.6150e+00   4.6783e-05   2.5805e-06   8.6890e+01
 2.6300e+00   6.0219e-05   2.6860e-06   8.7829e+01
 2.6450e+00   6.5863e-05   2.7818e-06   8.8769e+01
 2.6598e+00   5.2141e-05   2.7526e-06   8.9711e+01
 2.6746e+00   3.2791e-05   2.6356e-06   9.0654e+01
 2.6893e+00   3.1918e-05   2.6179e-06   9.1599e+01
 2.7040e+00   3.8940e-05   2.6824e-06   9.2546e+01
 2.7185e+00   4.5529e-05   2.7569e-06   9.3494e+01
 2.7330e+00   6.3502e-05   2.9211e-06   9.4444e+01
 2.7475e+00   6.4716e-05   2.9537e-06   9.5394e+01
 2.7618e+00   5.2774e-05   2.9085e-06   9.6346e+01
 2.7761e+00   4.9889e-05   2.9672e-06   9.7299e+01
 2.7904e+00   5.4176e-05   3.0275e-06   9.8257e+01
 2.8045e+00   6.1330e-05   3.0922e-06   9.9217e+01
 2.8186e+00   6.6936e-05   3.1910e-06   1.0017e+02
 2.8327e+00   7.8919e-05   3.3342e-06   1.0113e+02
 2.8467e+00   7.1422e-05   3.2181e-06   1.0209e+02
 2.8606e+00   7.7602e-05   3.2661e-06   1.0305e+02
 2.8744e+00   9.3950e-05   3.4498e-06   1.0402e+02
 2.8882e+00   9.9797e-05   3.5488e-06   1.0498e+02
 2.9019e+00   1.0555e-04   3.5108e-06   1.0595e+02
 2.9156e+00   1.2250e-04   3.6104e-06   1.0692e+02
 2.9292e+00   1.4809e-04   3.7997e-06   1.0789e+02
 2.9427e+00   1.5994e-04   3.8568e-06   1.0885e+02
 2.9562e+00   1.5193e-04   3.8027e-06   1.0982e+02
 2.9697e+00   1.5593e-04   3.8774e-06   1.1080e+02
 2.9830e+00   1.7494e-04   4.0028e-06   1.1177e+02
 2.9963e+00   1.8253e-04   4.0833e-06   1.1274e+02
 3.0096e+00   1.8095e-04   4.1350e-06   1.1372e+02
 3.0228e+00   2.0043e-04   4.1924e-06   1.1469e+02
 3.0360e+00   1.9752e-04   4.1685e-06   1.1566e+02
 3.0491e+00   1.8755e-04   4.0979e-06   1.1664e+02
 3.0621e+00   1.6538e-04   4.0421e-06   1.1762e+02
 3.0751e+00   1.4265e-04   4.0182e-06   1.1860e+02
 3.0880e+00   1.2473e-04   3.8391e-06   1.1958e+02
 3.1009e+00   1.0720e-04   3.8855e-06   1.2056e+02
 3.1138e+00   9.2581e-05   3.8329e-06   1.2154e+02
 3.1265e+00   7.7206e-05   3.7503e-06   1.2252e+02
 3.1393e+00   5.8429e-05   3.6229e-06   1.2350e+02
 3.1520e+00   4.2148e-05   3.6507e-06   1.2449e+02
 3.1646e+00   3.8739e-05   3.5962e-06   1.2547e+02
 3.1772e+00   3.4892e-05   3.6052e-06   1.2646e+02
 3.1897e+00   3.2392e-05   3.7311e-06   1.2744e+02
 3.2022e+00   2.4525e-05   3.6420e-06   1.2843e+02
 3.2146e+00   2.7287e-05   3.6089e-06   1.2942e+02
 3.2270e+00   3.0111e-05   3.6336e-06   1.3040e+02
 3.2394e+00   3.1608e-05   3.7207e-06   1.3139e+02
 3.2517e+00   3.9009e-05   3.7026e-06   1.3238e+02
 3.2640e+00   4.1777e-05   3.7619e-06   1.3797e+02
 3.2754e+00   5.3339e-05   3.8894e-06   1.3896e+02
 3.2875e+00   6.6341e-05   3.9856e-06   1.3529e+02
 3.2997e+00   5.7758e-05   3.9653e-06   1.3628e+02
 3.3117e+00   4.0195e-05   3.8210e-06   1.3727e+02
 3.3238e+00   2.2442e-05   3.8203e-06   1.3826e+02
 3.3358e+00   2.3695e-05   3.8905e-06   1.3926e+02
 3.3477e+00   2.4271e-05   3.9883e-06   1.4025e+02
 3.3596e+00   3.5659e-05   3.9838e-06   1.4125e+02
 3.3715e+00   3.9354e-05   4.1007e-06   1.4224e+02
 3.3834e+00   4.6003e-05   4.1460e-06   1.4324e+02
 3.3951e+00   4.6158e-05   4.1299e-06   1.4423e+02
 3.4069e+00   4.5500e-05   4.0628e-06   1.4523e+02
 3.4186e+00   4.5720e-05   4.1801e-06   1.4623e+02
 3.4303e+00   4.2643e-05   4.1114e-06   1.4723e+02
 3.4419e+00   4.8024e-05   4.1981e-06   1.4823e+02
 3.4535e+00   4.3170e-05   4.2404e-06   1.4922e+02
 3.4650e+00   4.3214e-05   4.4006e-06   1.5022e+02
 3.4766e+00   4.6694e-05   4.3140e-06   1.5123e+02
 3.4880e+00   5.8362e-05   4.5074e-06   1.5223e+02
 3.4995e+00   6.0439e-05   4.4348e-06   1.5323e+02
 3.5109e+00   6.2240e-05   4.4956e-06   1.5423e+02
 3.5222e+00   7.1816e-05   4.6198e-06   1.5523e+02
 3.5336e+00   7.3229e-05   4.7725e-06   1.5623e+02
 3.5448e+00   8.0111e-05   4.8043e-06   1.5724e+02
 3.5561e+00   9.0060e-05   4.7700e-06   1.5824e+02
 3.5673e+00   9.8946e-05   4.9864e-06   1.5925e+02
 3.5785e+00   1.0508e-04   5.0325e-06   1.6025e+02
 3.5897e+00   1.0183e-04   5.0121e-06   1.6125e+02
 3.6008e+00   1.1376e-04   5.1945e-06   1.6226e+02
 3.6118e+00   1.1478e-04   5.3122e-06   1.6327e+02
 3.6229e+00   1.2964e-04   5.3911e-06   1.6427e+02
 3.6339e+00   1.5376e-04   5.4332e-06   1.6528e+02
 3.6449e+00   1.6948e-04   5.4331e-06   1.6629e+02
 3.6558e+00   1.9239e-04   5.5537e-06   1.6730e+02
 3.6667e+00   2.1509e-04   5.6768e-06   1.6831e+02
 3.6776e+00   2.2691e-04   5.8478e-06   1.6931e+02
 3.6884e+00   2.3703e-04   5.9440e-06   1.7032e+02
 3.6993e+00   2.4686e-04   6.0093e-06   1.7133e+02
 3.7100e+00   2.5966e-04   6.1026e-06   1.7234e+02
 3.7208e+00   2.7614e-04   6.2063e-06   1.7335e+02
 3.7315e+00   2.7546e-04   6.2317e-06   1.7437e+02
 3.7422e+00   2.9124e-04   6.4299e-06   1.7538e+02
 3.7528e+00   3.2359e-04   6.5830e-06   1.7639e+02
 3.7635e+00   3.3726e-04   6.6619e-06   1.7740e+02
 3.7741e+00   3.3667e-04   6.7381e-06   1.7841e+02
 3.7846e+00   3.2639e-04   6.8661e-06   1.7942e+02
 3.7951e+00   3.5430e-04   7.1706e-06   1.8044e+02
 3.8056e+00   4.0466e-04   7.0542e-06   1.8145e+02
 3.8161e+00   4.2509e-04   7.1961e-06   1.8246e+02
 3.8266e+00   4.6297e-04   7.4694e-06   1.8348e+02
 3.8370e+00   4.5438e-04   7.4148e-06   1.8449e+02
 3.8474e+00   4.2065e-04   7.2970e-06   1.8551e+02
 3.8577e+00   4.3871e-04   7.4075e-06   1.8652e+02
 3.8680e+00   4.6164e-04   7.6538e-06   1.8754e+02
 3.8783e+00   4.7815e-04   7.7825e-06   1.8855e+02
 3.8886e+00   4.9595e-04   7.7962e-06   1.8957e+02
 3.8989e+00   5.0454e-04   7.9230e-06   1.9058e+02
 3.9091e+00   5.2030e-04   8.0077e-06   1.9160e+02
 3.9193e+00   5.4240e-04   8.1296e-06   1.9262e+02
 3.9294e+00   5.6104e-04   8.2774e-06   1.9364e+02
 3.9396e+00   5.9630e-04   8.4800e-06   1.9465e+02
 3.9497e+00   6.0617e-04   8.3148e-06   1.9567e+02
 3.9597e+00   6.0754e-04   8.4835e-06   1.9669e+02
 3.9698e+00   6.1862e-04   8.5327e-06   1.9771e+02
 3.9798e+00   6.3215e-04   8.8784e-06   1.9873e+02
 3.9898e+00   6.7011e-04   9.0206e-06   1.9975e+02
 3.9998e+00   6.9044e-04   9.0722e-06   2.0077e+02
 4.0097e+00   6.8333e-04   9.0549e-06   2.0179e+02
 4.0197e+00   7.1956e-04   9.2591e-06   2.0281e+02
 4.0296e+00   7.0893e-04   9.1734e-06   2.0383e+02
 4.0394e+00   7.2205e-04   9.4128e-06   2.0485e+02
 4.0493e+00   7.6261e-04   9.6021e-06   2.0587e+02
 4.0591e+00   8.0200e-04   9.6890e-06   2.0690e+02
 4.0689e+00   7.9620e-04   9.7092e-06   2.0792e+02
 4.0787e+00   7.8360e-04   9.6834e-06   2.0894e+02
 4.0884e+00   8.1876e-04   9.9660e-06   2.0996e+02
 4.0981e+00   8.4198e-04   1.0196e-05   2.1099e+02
 4.1078e+00   8.1323e-04   1.0147e-05   2.1201e+02
 4.1175e+00   8.1489e-04   1.0224e-05   2.1303e+02
 4.1272e+00   8.3274e-04   1.0269e-05   2.1405e+02
 4.1368e+00   8.2753e-04   1.0202e-05   2.1508e+02
 4.1464e+00   7.8664e-04   1.0271e-05   2.1610e+02
 4.1560e+00   7.6015e-04   1.0216e-05   2.1713e+02
 4.1655e+00   7.7869e-04   1.0172e-05   2.1816e+02
 4.1751e+00   7.4051e-04   1.0133e-05   2.1918e+02
 4.1846e+00   6.4719e-04   9.7587e-06   2.2021e+02
 4.1941e+00   5.3582e-04   9.3478e-06   2.2124e+02
 4.2035e+00   4.8183e-04   9.1615e-06   2.2226e+02
 4.2130e+00   4.1797e-04   9.0986e-06   2.2329e+02
 4.2224e+00   3.4585e-04   8.8339e-06   2.2431e+02
 4.2318e+00   3.1268e-04   8.5694e-06   2.2533e+02
 4.2412e+00   3.1667e-04   8.5326e-06   2.2636e+02
 4.2506e+00   3.1889e-04   8.6001e-06   2.2739e+02
 4.2599e+00   3.3073e-04   8.6751e-06   2.2842e+02
 4.2692e+00   3.1925e-04   8.5352e-06   2.2945e+02
 4.2785e+00   3.3009e-04   8.8741e-06   2.3048e+02
 4.2878e+00   3.5948e-04   8.9983e-06   2.3151e+02
 4.2970e+00   3.5456e-04   8.9647e-06   2.3253e+02
 4.3062e+00   3.3606e-04   8.8609e-06   2.3356e+02
 4.3155e+00   3.4672e-04   8.9455e-06   2.3460e+02
 4.3246e+00   3.4378e-04   9.0188e-06   2.3563e+02
 4.3338e+00   3.3410e-04   9.0850e-06   2.3666e+02
 4.3430e+00   3.5189e-04   9.0953e-06   2.3769e+02
 4.3521e+00   3.5720e-04   9.1623e-06   2.3871e+02
 4.3612e+00   3.9376e-04   9.3791e-06   2.3974e+02
 4.3703e+00   4.0763e-04   9.7105e-06   2.4078e+02
 4.3793e+00   4.1238e-04   9.8375e-06   2.4182e+02
 4.3884e+00   4.1300e-04   9.7993e-06   2.4284e+02
